,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
0,0,2021-10-17 09:39:17+00:00,2021-10-17 12:45:24+00:00,407567,EZY96EM,LEMG,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
1,1,2021-10-17 10:27:12+00:00,2021-10-17 13:19:21+00:00,407177,EXS8HQ,LEAL,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),17
2,2,2021-10-17 12:23:38+00:00,2021-10-17 13:22:08+00:00,4063de,SHT6R,EGLL,EGPF,G-EUYJ,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,4464,,L2J,,SPEEDBIRD,BAW,,British Airways,,2010-10-28,,,2010-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
3,3,2021-10-17 12:46:14+00:00,2021-10-17 13:35:59+00:00,400dc2,GMA03,,EGPF,G-SASC,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-150,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2005-12-30,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,17
4,4,2021-10-17 13:01:09+00:00,2021-10-17 13:38:37+00:00,4ca61d,RYR5774,EIDW,EGPF,EI-DWP,BOEING,The Boeing Company,BOEING 737-8AS,B738,36082,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2007-11-21,,,2007-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,17
5,5,2021-10-17 10:56:10+00:00,2021-10-17 13:44:19+00:00,4070ec,EXS96XU,LEIB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
6,6,2021-10-17 10:48:40+00:00,2021-10-17 13:48:17+00:00,407719,EDC311,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
7,7,2021-10-17 10:39:00+00:00,2021-10-17 13:50:42+00:00,406ae9,TOM25T,,EGPF,G-TAWU,BOEING,Boeing Company,BOEING 737-8K5,B738,37263,,L2J,,TOMSON,TOM,,Thomson Airways,,2014-04-22,,,2014-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,17
8,8,2021-10-17 10:40:10+00:00,2021-10-17 13:53:33+00:00,40717c,EXS3CN,LPFR,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
9,9,2021-10-17 13:08:33+00:00,2021-10-17 14:04:48+00:00,406319,EZY734Q,EGGW,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
10,10,2021-10-17 11:12:33+00:00,2021-10-17 14:15:40+00:00,406b7e,EDC309,,EGPF,G-SUGR,HARBIN,Embraer Sa,EMB-135BJ Legacy 650,E35L,14501199,,L2J,,,,,Air Charter Scotland,,2014-04-14,,,2014-01-01,,,2 x ROLLS-ROYCE AE3007A2<br>,False,False,False,,Small (15500 to 75000 lbs),17
11,11,2021-10-17 12:45:34+00:00,2021-10-17 14:22:18+00:00,3c644a,DLH974,EDDF,EGPF,D-AIBJ,AIRBUS,Airbus,A319 112,A319,5293,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,17
12,12,2021-10-17 14:25:04+00:00,2021-10-17 14:53:50+00:00,406df4,GHIAL,,EGPF,G-HIAL,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,917,,L2T,,,,,Loganair,,2015-05-15,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,17
13,13,2021-10-17 14:24:30+00:00,2021-10-17 14:59:06+00:00,500147,T7AVD,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
14,14,2021-10-17 13:47:00+00:00,2021-10-17 15:02:56+00:00,484f7d,KLM55C,EHAM,EGPF,PH-EZU,EMBRAER,Embraer,EMB-190 STD,E190,19000522,,L2J,,CITY,KLC,,Klm Cityhopper,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,17
15,15,2021-10-17 15:14:16+00:00,2021-10-17 15:38:27+00:00,407575,EZY475,EGAA,EGPF,G-EZRZ,AIRBUS,Airbus Industrie,A320-214,A320,8358,,L2J,Easyjet,EASY,EZY,U2,Easyjet,,2018-06-01,,,2018-06-01,,,2 x CFM56-5B4/P,False,False,False,,,17
16,16,2021-10-17 14:36:49+00:00,2021-10-17 15:41:46+00:00,407689,EZY958A,EGKK,EGPF,G-UZHU,AIRBUS,Airbus,A320-251N,A20N,8681,,L2J,Easyjet,EASY,EZY,U2,Easyjet,,,,,2018-12-01,,,,False,False,False,,,17
17,17,2021-10-17 11:41:12+00:00,2021-10-17 15:52:13+00:00,40660c,TOM5EA,GCRR,EGPF,G-FDZY,BOEING,Boeing Company,BOEING 737-8K5,B738,37261,,L2J,,TOMSON,TOM,,Thomson Airways,,2016-05-03,,,2011-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,17
18,18,2021-10-17 15:41:08+00:00,2021-10-17 16:17:31+00:00,400dc3,GMA01B,,EGPF,G-SASD,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-151,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2006-01-04,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,17
19,19,2021-10-17 13:10:11+00:00,2021-10-17 16:34:26+00:00,4d20f3,HYP011,,EGPF,9H-BSA,,Hawker Beechcraft Corp,Hawker 750,H750,HB-24,,,,,,,Hyperion Aviation,,,,,,,,,False,False,False,,,17
20,20,2021-10-17 16:01:21+00:00,2021-10-17 16:58:27+00:00,405f13,EZY865U,EGGD,EGPF,G-EZTC,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3871,,L2J,,EASY,EZY,,Easyjet Airline,,2009-04-17,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,17
21,21,2021-10-17 16:44:56+00:00,2021-10-17 17:00:59+00:00,a020a1,N107VS,EGPH,EGPF,N107VS,,Gulfstream Aerospace,GV-SP (G550),G550,5043,,,,,,,Sterling2k Llc,,,2024-12-31,,2004-01-01,,,ROLLS DEUT BR700-710C411,False,False,False,,Large (75000 to 300000 lbs),17
22,22,2021-10-17 16:42:30+00:00,2021-10-17 17:35:07+00:00,400980,SHT6F,EGLL,EGPF,G-EUUE,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,1782,BA373,L2J,British Airways,SPEEDBIRD,BAW,BA,British Airways,,2002-05-30,,,2002-01-01,2002-04-08,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
23,23,2021-10-17 17:55:02+00:00,2021-10-17 18:07:13+00:00,407ab4,EDC478,EGPK,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
24,24,2021-10-17 17:23:10+00:00,2021-10-17 18:21:58+00:00,4010e9,EZY108M,EGSS,EGPF,G-EZBU,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3118,,L2J,,EASY,EZY,,Easyjet Airline,,2007-05-14,,,2007-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,17
25,25,2021-10-17 17:33:39+00:00,2021-10-17 18:30:45+00:00,400be5,SHT6J,EGLL,EGPF,G-MEDK,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,2441,,L2J,,SPEEDBIRD,BAW,,British Airways,,2013-05-14,,,2005-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
26,26,2021-10-17 18:11:38+00:00,2021-10-17 18:34:46+00:00,406231,CFE7331,EGAC,EGPF,G-LCYL,EMBRAER,Empresa Brasileira De Aeronautica Sa,ERJ 190-100 SR Embraer 190,E190,19000346,,L2J,,FLYER,CFE,,Ba Cityflyer,,2010-04-29,,,2010-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,No ADS-B Emitter Category Information,17
27,27,2021-10-17 18:19:38+00:00,2021-10-17 18:45:26+00:00,406015,EZY704P,EGAA,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,17
28,28,2021-10-17 18:24:30+00:00,2021-10-17 19:11:25+00:00,407567,EZY384Q,EGBB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
29,29,2021-10-17 18:19:01+00:00,2021-10-17 19:25:07+00:00,406532,SHT6K,EGLL,EGPF,G-EUYM,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,4791,,L2J,,SPEEDBIRD,BAW,,British Airways,,2011-08-05,,,2011-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
30,30,2021-10-17 18:32:32+00:00,2021-10-17 19:29:31+00:00,406b91,EZY647T,EGGW,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,17
31,31,2021-10-17 18:36:04+00:00,2021-10-17 19:38:57+00:00,406a95,EZY689J,EGKK,EGPF,G-EZWU,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6095,,L2J,,EASY,EZY,,Easyjet Airline,,2014-05-08,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,17
32,32,2021-10-17 18:25:37+00:00,2021-10-17 19:44:47+00:00,407575,EZY804J,EGJJ,EGPF,G-EZRZ,AIRBUS,Airbus Industrie,A320-214,A320,8358,,L2J,Easyjet,EASY,EZY,U2,Easyjet,,2018-06-01,,,2018-06-01,,,2 x CFM56-5B4/P,False,False,False,,,17
33,33,2021-10-17 18:56:21+00:00,2021-10-17 19:51:53+00:00,4009d8,BAW1356,EGLL,EGPF,G-EUUK,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,1899,,L2J,,SPEEDBIRD,BAW,,British Airways,,2002-12-20,,,2002-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
34,34,2021-10-17 18:52:03+00:00,2021-10-17 19:57:58+00:00,406222,CFE9V,EGLC,EGPF,G-LCYJ,EMBRAER,Empresa Brasileira De Aeronautica Sa,ERJ 190-100 SR Embraer 190,E190,19000339,,L2J,,FLYER,CFE,,Ba Cityflyer,,2010-03-04,,,2010-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,No ADS-B Emitter Category Information,17
35,35,2021-10-17 16:27:35+00:00,2021-10-17 20:10:58+00:00,40766d,EXS95EZ,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
36,36,2021-10-17 19:24:05+00:00,2021-10-17 20:20:24+00:00,405f13,EZY359C,EGGD,EGPF,G-EZTC,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3871,,L2J,,EASY,EZY,,Easyjet Airline,,2009-04-17,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,17
37,37,2021-10-17 10:35:05+00:00,2021-10-17 20:22:46+00:00,40702e,EXS155,EGPF,EGPF,G-JZHH,BOEING,Boeing Company,BOEING 737-85P,B738,28536,,L2J,,CHANNEX,EXS,,Jet2,,2016-05-20,,,2000-01-01,,,2 x CFM CFM56-7B26<br>,False,False,False,,No ADS-B Emitter Category Information,17
38,38,2021-10-17 19:42:47+00:00,2021-10-17 20:39:44+00:00,400a7d,SHT6M,EGLL,EGPF,G-DBCB,AIRBUS,Airbus Sas,AIRBUS A319-131,A319,2188,,L2J,,SPEEDBIRD,BAW,,British Airways,,2012-05-29,,,2004-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,17
39,39,2021-10-17 20:49:11+00:00,2021-10-17 21:21:13+00:00,4ca225,RYR5776,EIDW,EGPF,EI-DCK,BOEING,The Boeing Company,BOEING 737-8AS,B738,33565,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2004-09-01,,,2004-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,17
40,40,2021-10-17 21:23:01+00:00,2021-10-17 21:44:47+00:00,407567,EZY142Q,EGAA,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
41,41,2021-10-17 20:53:50+00:00,2021-10-17 21:50:31+00:00,4010e9,EZY507W,EGSS,EGPF,G-EZBU,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3118,,L2J,,EASY,EZY,,Easyjet Airline,,2007-05-14,,,2007-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,17
42,42,2021-10-17 21:11:49+00:00,2021-10-17 21:55:49+00:00,406015,EZY727A,EGBB,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,17
43,43,2021-10-17 13:15:33+00:00,2021-10-17 22:47:49+00:00,4076dd,EXS64GC,EGNX,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,17
44,44,2021-10-17 22:56:52+00:00,2021-10-17 23:25:08+00:00,406f8b,CG948,,EGPF,G-MCGL,SIKORSKY,Sikorsky Aircraft,SIKORSKY S-92A,S92,920254,,H2T,Bristow Helicopters,BRISTOW,BHL,,Bristow Helicopters Ltd,,2015-11-13,,,2015-01-01,,,2 x GENERAL ELECTRIC CO CT7-8A<br>,False,False,False,,Rotorcraft,17
45,45,2021-10-17 19:03:10+00:00,2021-10-18 00:37:57+00:00,40665e,TOM319F,,EGPF,G-TAWC,BOEING,Boeing Company,BOEING 737-8K5,B738,39922,,L2J,,TOMSON,TOM,,Thomson Airways,,2016-04-28,,,2012-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,,18
46,46,2021-10-17 20:36:47+00:00,2021-10-18 01:01:29+00:00,407177,EXS15LP,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),18
47,47,2021-10-17 21:18:58+00:00,2021-10-18 01:39:12+00:00,4070ec,EXS32TE,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
48,48,2021-10-17 22:15:46+00:00,2021-10-18 03:28:53+00:00,406ae9,TOM3YB,LCLK,EGPF,G-TAWU,BOEING,Boeing Company,BOEING 737-8K5,B738,37263,,L2J,,TOMSON,TOM,,Thomson Airways,,2014-04-22,,,2014-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,18
49,49,2021-10-18 05:20:39+00:00,2021-10-18 05:39:24+00:00,400dc3,GMA01,,EGPF,G-SASD,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-151,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2006-01-04,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,18
50,50,2021-10-18 05:31:41+00:00,2021-10-18 06:30:43+00:00,406444,EZY368V,EGKK,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
51,51,2021-10-18 06:04:03+00:00,2021-10-18 07:00:40+00:00,40799c,CFE8720,EGLC,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
52,52,2021-10-18 06:43:09+00:00,2021-10-18 07:07:07+00:00,406015,EZY652A,EGAA,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
53,53,2021-10-18 04:31:36+00:00,2021-10-18 07:09:25+00:00,48c229,RYR64TA,EPMO,EGPF,SP-RSK,BOEING,Boeing Aircraft Company,737-8AS,B738,44847,7137,L2J,Ryanair Sun,RYANAIR,RYR,FR,Ryanair,,2018-11-29,,,2018-08-01,2018-08-20,,2 x CFM56-7B26,False,False,False,,,18
54,54,2021-10-18 06:14:50+00:00,2021-10-18 07:12:07+00:00,406669,EZY596J,EGGD,EGPF,G-EZUO,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,5052,,L2J,,EASY,EZY,,Easyjet Airline,,2012-04-04,,,2012-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
55,55,2021-10-18 05:32:45+00:00,2021-10-18 07:18:38+00:00,3c6543,DLH960,EDDF,EGPF,D-AIJC,AIRBUS,Airbus Industrie,A320-271N,A20N,09581,,L2J,Lufthansa,LUFTHANSA,DLH,LH,,,,,,,,,,False,False,False,,,18
56,56,2021-10-18 06:32:49+00:00,2021-10-18 07:30:43+00:00,407171,BZE07A,EGKB,EGPF,G-ZNTH,LEARJET,Learjet Inc,LEARJET 45 Learjet 75,LJ75,45-540,,L2J,,BRAZIL AIR,BZE,,Zenith Aviation Ltd,,2016-09-30,,,2016-01-01,,,2 x HONEYWELL TFE731-40BR-1B<br>,False,False,False,,Small (15500 to 75000 lbs),18
57,57,2021-10-18 07:00:04+00:00,2021-10-18 07:34:26+00:00,4ca217,EIN2EV,EIDW,EGPF,EI-DEF,AIRBUS,Airbus Industrie,A320-214,A320,2256,,L2J,,SHAMROCK,EIN,,Aer Lingus Limited,,2004-09-02,,,2004-01-01,,,2x CFM CFM56-5B4/P,False,False,False,,No ADS-B Emitter Category Information,18
58,58,2021-10-18 07:45:20+00:00,2021-10-18 08:38:52+00:00,40780e,SHT6G,EGLL,EGPF,G-NEOY,,,,,,,,British Airways,SPEEDBIRD,BAW,BA,,,,,,,,,,False,False,False,,,18
59,59,2021-10-18 08:01:54+00:00,2021-10-18 09:01:55+00:00,406b91,EZY787P,EGKK,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
60,60,2021-10-18 08:11:12+00:00,2021-10-18 09:05:28+00:00,4010e9,EZY378A,EGGW,EGPF,G-EZBU,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3118,,L2J,,EASY,EZY,,Easyjet Airline,,2007-05-14,,,2007-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,18
61,61,2021-10-18 07:59:00+00:00,2021-10-18 09:07:56+00:00,48418c,KLM1473,EHAM,EGPF,PH-BXR,BOEING,Boeing,737NG 9K2/W,B739,29601,,L2J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,18
62,62,2021-10-18 08:33:02+00:00,2021-10-18 09:29:12+00:00,407567,EZY624B,EGSS,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
63,63,2021-10-18 09:44:35+00:00,2021-10-18 10:11:28+00:00,406df5,GSGTS,,EGPF,G-SGTS,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,918,,L2T,,,,,Loganair,,2015-05-21,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,18
64,64,2021-10-18 09:48:01+00:00,2021-10-18 10:30:05+00:00,4077c7,HLE05,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
65,65,2021-10-18 09:43:33+00:00,2021-10-18 10:43:38+00:00,400a7d,BAW2512,EGKK,EGPF,G-DBCB,AIRBUS,Airbus Sas,AIRBUS A319-131,A319,2188,,L2J,,SPEEDBIRD,BAW,,British Airways,,2012-05-29,,,2004-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,18
66,66,2021-10-18 10:25:04+00:00,2021-10-18 11:10:25+00:00,406015,EZY384Q,EGBB,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
67,67,2021-10-18 08:25:18+00:00,2021-10-18 11:16:45+00:00,49d3d5,TVL4422,LHBP,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),18
68,68,2021-10-18 10:48:04+00:00,2021-10-18 11:21:27+00:00,406df4,GHIAL,,EGPF,G-HIAL,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,917,,L2T,,,,,Loganair,,2015-05-15,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,18
69,69,2021-10-18 08:55:35+00:00,2021-10-18 11:25:17+00:00,48c126,RYR7673,EPWR,EGPF,SP-RKG,BOEING,Boeing,737-8AS (W),B738,44826,6860,L2J,Ryanair Ltd. - Ireland,RYANAIR,RYR,,Ryanair Sun,,,,,,,,CFMI CFM56-7B26,False,False,False,,,18
70,70,2021-10-18 10:34:19+00:00,2021-10-18 11:28:41+00:00,406753,EZY595Z,EGGD,EGPF,G-EZWB,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,5224,U21948,L2J,Easyjet,EASY,EZY,U2,Easyjet Airline,,2012-08-07,,,2012-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
71,71,2021-10-18 11:22:38+00:00,2021-10-18 11:44:36+00:00,406b91,EZY475,EGAA,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
72,72,2021-10-18 04:12:37+00:00,2021-10-18 11:50:21+00:00,8960d8,UAE27,OMDB,EGPF,A6-EBQ,BOEING,Boeing,777 36NER,B77W,33863,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,18
73,73,2021-10-18 11:35:09+00:00,2021-10-18 12:51:29+00:00,4401dc,EJU85RG,EHAM,EGPF,OE-IZQ,AIRBUS,,,A320,,,L2J,,,EJU,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),18
74,74,2021-10-18 10:05:41+00:00,2021-10-18 12:56:47+00:00,407177,EXS9FQ,LEPA,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),18
75,75,2021-10-18 12:07:07+00:00,2021-10-18 13:05:20+00:00,407567,EZY658N,EGGW,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
76,76,2021-10-18 12:40:15+00:00,2021-10-18 14:04:52+00:00,4010e9,EZY75GZ,LFPG,EGPF,G-EZBU,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3118,,L2J,,EASY,EZY,,Easyjet Airline,,2007-05-14,,,2007-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,18
77,77,2021-10-18 13:14:09+00:00,2021-10-18 14:09:09+00:00,400980,SHT6R,EGLL,EGPF,G-EUUE,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,1782,BA373,L2J,British Airways,SPEEDBIRD,BAW,BA,British Airways,,2002-05-30,,,2002-01-01,2002-04-08,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,18
78,78,2021-10-18 13:53:00+00:00,2021-10-18 14:21:57+00:00,407277,CWY08H,EGAC,EGPF,G-NIAB,RAYTHEON,Beech Aircraft Corporation,BEECH 200C Super Kingair,BE20,BL-16,,L2T,,,,,Blue Sky Investments Ltd,,2016-12-20,,,1980-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-41&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,18
79,79,2021-10-18 13:53:04+00:00,2021-10-18 15:07:51+00:00,485065,KLM55C,EHAM,EGPF,PH-EZZ,EMBRAER,Embraer,Embraer EMB-190 STD,E190,19000654,,L2J,,CITY,KLC,,Klm Cityhopper,,,,,,,,,False,False,False,,,18
80,80,2021-10-18 11:56:00+00:00,2021-10-18 15:31:17+00:00,40665e,TOM6AD,,EGPF,G-TAWC,BOEING,Boeing Company,BOEING 737-8K5,B738,39922,,L2J,,TOMSON,TOM,,Thomson Airways,,2016-04-28,,,2012-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,,18
81,81,2021-10-18 12:41:37+00:00,2021-10-18 15:36:40+00:00,40717c,EXS13LM,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
82,82,2021-10-18 15:08:49+00:00,2021-10-18 16:11:56+00:00,40666d,EZY689J,EGKK,EGPF,G-EZUT,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,5113,,L2J,,EASY,EZY,,Easyjet Airline,,2012-04-17,,,2012-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
83,83,2021-10-18 15:41:53+00:00,2021-10-18 16:37:25+00:00,406c72,EZY359C,EGGD,EGPF,G-EZWZ,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6353,,L2J,,EASY,EZY,,Easyjet Airline,,2014-11-21,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,18
84,84,2021-10-18 16:07:51+00:00,2021-10-18 16:41:07+00:00,400dc3,GMA01B,EGPE,EGPF,G-SASD,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-151,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2006-01-04,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,18
85,85,2021-10-18 12:05:15+00:00,2021-10-18 16:44:51+00:00,406ae9,TOM527,,EGPF,G-TAWU,BOEING,Boeing Company,BOEING 737-8K5,B738,37263,,L2J,,TOMSON,TOM,,Thomson Airways,,2014-04-22,,,2014-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,18
86,86,2021-10-18 16:07:10+00:00,2021-10-18 17:03:59+00:00,40799c,CFE8724,EGLC,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,18
