,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
1547,1547,2021-11-10 09:44:23+00:00,2021-11-10 10:17:19+00:00,400dc2,GMA01,,EGPF,G-SASC,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-150,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2005-12-30,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,10
1548,1548,2021-11-10 09:54:31+00:00,2021-11-10 10:46:15+00:00,400b82,SHT6V,EGLL,EGPF,G-DBCD,AIRBUS,Airbus Sas,AIRBUS A319-131,A319,2389,,L2J,,SPEEDBIRD,BAW,,British Airways,,2012-06-20,,,2005-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1549,1549,2021-11-10 10:34:52+00:00,2021-11-10 10:52:24+00:00,406df4,GHIAL,,EGPF,G-HIAL,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,917,,L2T,,,,,Loganair,,2015-05-15,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,10
1550,1550,2021-11-10 10:07:02+00:00,2021-11-10 11:04:28+00:00,40097d,BAW2512,EGKK,EGPF,G-EUUB,AIRBUS,Airbus Industrie,AIRBUS A320-232,A320,1689,,L2J,,SPEEDBIRD,BAW,,British Airways,,2002-02-14,,,2002-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1551,1551,2021-11-10 03:57:25+00:00,2021-11-10 11:33:06+00:00,89611f,UAE27,,EGPF,A6-ECX,BOEING,Boeing,777 31HER,B77W,38982,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,10
1552,1552,2021-11-10 10:47:48+00:00,2021-11-10 11:45:43+00:00,5001d7,T7VBS,EGKB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1553,1553,2021-11-10 11:05:23+00:00,2021-11-10 11:56:43+00:00,406532,BAW9271,EGLL,EGPF,G-EUYM,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,4791,,L2J,,SPEEDBIRD,BAW,,British Airways,,2011-08-05,,,2011-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1554,1554,2021-11-10 11:15:58+00:00,2021-11-10 12:11:29+00:00,400a76,BRO24P,EGCN,EGPF,G-CIFE,RAYTHEON,Raytheon Aircraft Company,BEECH B200 Super Kingair,BE20,BB-1829,,L2T,London Executive Aviation,LONEX,LNX,,London Executive Aviation,,2014-11-28,,,2003-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-E4N-3G/D9390SK-1R )<br>,False,False,False,,No ADS-B Emitter Category Information,10
1555,1555,2021-11-10 09:47:47+00:00,2021-11-10 12:16:59+00:00,48c2a2,RYR4003,EPKT,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1556,1556,2021-11-10 11:26:38+00:00,2021-11-10 12:20:26+00:00,4055b7,BRO25P,EGCN,EGPF,G-JASS,RAYTHEON,Beech Aircraft Corporation,BEECH B200 Super Kingair,BE20,BB-983,,L2T,Lydd Air,LYDDAIR,LYD,,Lydd Air Ltd,,2014-03-17,,,1981-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,No ADS-B Emitter Category Information,10
