,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day,id_x,ident,type,name_x,latitude_deg,longitude_deg,elevation_ft,continent_x,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link_x,keywords_x,id_y,code,name_y,continent_y,wikipedia_link_y,keywords_y
1645,1645,2021-11-11 14:54:30+00:00,2021-11-11 18:55:35+00:00,40717b,EXS4JU,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),11,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
1646,1646,2021-11-11 18:04:41+00:00,2021-11-11 18:58:45+00:00,40676a,CFE9V,EGLC,EGPF,G-LCYR,EMBRAER,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,19000563,,L2J,,FLYER,CFE,,Ba Cityflyer,,2012-08-10,,,2012-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,No ADS-B Emitter Category Information,11,2430.0,EGLC,medium_airport,London City Airport,51.505299,0.055278,19.0,EU,GB,GB-ENG,London,yes,EGLC,LCY,,http://www.londoncityairport.com/,https://en.wikipedia.org/wiki/London_City_Airport,LON,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1647,1647,2021-11-11 18:14:31+00:00,2021-11-11 19:03:38+00:00,4076cd,SHT6F,EGLL,EGPF,G-TTNJ,AIRBUS,Airbus Industrie,A320-251N,A20N,,,L2J,British Airways,SPEEDBIRD,BAW,BA,,,2019-02-28,,,,,,,False,False,False,,,11,2434.0,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,yes,EGLL,LHR,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres",302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1648,1648,2021-11-11 18:22:31+00:00,2021-11-11 19:14:38+00:00,406b91,EZY182H,EGGW,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,11,2419.0,EGGW,large_airport,London Luton Airport,51.874698638916016,-0.3683330118656158,526.0,EU,GB,GB-ENG,London,yes,EGGW,LTN,,http://www.london-luton.co.uk/en/,https://en.wikipedia.org/wiki/London_Luton_Airport,LON,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1649,1649,2021-11-11 18:28:45+00:00,2021-11-11 19:20:08+00:00,406a95,EZY903H,EGGD,EGPF,G-EZWU,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6095,,L2J,,EASY,EZY,,Easyjet Airline,,2014-05-08,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,11,2417.0,EGGD,medium_airport,Bristol Airport,51.382702,-2.71909,622.0,EU,GB,GB-ENG,Bristol,yes,EGGD,BRS,,http://www.bristolairport.co.uk/,https://en.wikipedia.org/wiki/Bristol_International_Airport,Lulsgate Bottom,302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1650,1650,2021-11-11 15:29:21+00:00,2021-11-11 19:26:02+00:00,4067ee,TOM8BA,,EGPF,G-TAWK,BOEING,Boeing Company,BOEING 737-8K5,B738,37239,,L2J,,TOMSON,TOM,,Thomson Airways,,2017-05-03,,,2012-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,No ADS-B Emitter Category Information,11,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
1651,1651,2021-11-11 15:23:37+00:00,2021-11-11 19:29:59+00:00,4070ec,EXS26TM,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
1652,1652,2021-11-11 18:36:22+00:00,2021-11-11 19:34:21+00:00,405d11,EZY569Q,EGKK,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2429.0,EGKK,large_airport,London Gatwick Airport,51.148102,-0.190278,202.0,EU,GB,GB-ENG,London,yes,EGKK,LGW,,http://www.gatwickairport.com/,https://en.wikipedia.org/wiki/Gatwick_Airport,"LON, Crawley, Charlwood",302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
1653,1653,2021-11-11 15:43:09+00:00,2021-11-11 19:37:22+00:00,407177,EXS28E,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),11,,,,,,,,,,,,,,,,,,,302591,,Namibia,AF,https://en.wikipedia.org/wiki/Namibia,
1654,1654,2021-11-11 20:28:15+00:00,2021-11-11 21:18:34+00:00,400942,SHT6M,EGLL,EGPF,G-EUOF,AIRBUS,Airbus Industrie,AIRBUS A319-131,A319,1590,,L2J,,SPEEDBIRD,BAW,,British Airways,,2001-10-23,,,2001-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,11,2434.0,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,yes,EGLL,LHR,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres",302688,GB,United Kingdom,EU,https://en.wikipedia.org/wiki/United_Kingdom,Great Britain
