Country,Delegates,Code,CO2,Legs
Timor-Leste,27,TLS,83.0358,3
Togo,57,TGO,90.7668,3
Tonga,7,TON,23.2561,4
Trinidad and Tobago,12,TTO,22.9956,3
Tunisia,68,TUN,32.5448,2
Turkey,136,TUR,87.7064,3
Turkmenistan,11,TKM,9.0728,3
Tuvalu,22,TUV,139.1852,4
Uganda,72,UGA,68.2488,2
Ukraine,40,UKR,20.024,2
United Arab Emirates,115,ARE,173.305,3
United Kingdom,229,GBR,36.0446,1
United States of America,140,USA,115.136,2
Uruguay,14,URY,19.4628,3
Uzbekistan,15,UZB,17.535,2
Vanuatu,3,VUT,13.1604,3
Venezuela,4,VEN,8.5104,3
Vietnam,78,VNM,197.8782,3
Yemen,9,YEM,13.1058,3
Zambia,38,ZMB,56.1108,3
Zimbabwe,96,ZWE,248.9856,3
